NhietdoN_SONG,pH_N_SONG,Duc_N_SONG,Mau_N_SONG,SS_SONG,EC_N_SONG,Jartest_N_SONG_KN
,6.5,25,150,9,58.3,16
28.8,6.6,23,,,59.4,16
28.1,6.5,32,192,18,58,16
28.2,6.5,23,138,10,58.8,16
29.3,6.5,24,,,58.7,16
,6.5,20,,,58.6,16
28.4,6.5,19,121,6,58.4,16
,6.5,25,167,10,59.8,16
,6.6,28,,,58.1,16
28.3,6.5,25,157,7,57.6,18
28.8,6.5,25,,,58.3,18
29.1,6.5,21,,,57.6,14
28.4,6.5,23,138,10,57.8,14
,6.6,22,,,58.7,14
,6.5,16,,,59.1,16
28.7,6.5,15,101,5,58.2,16
,6.6,18,,,59,16
,6.6,16,,,59.5,16
28.9,6.6,14,91,2,59.3,16
28.9,6.6,13,,,58.8,16
28.9,6.6,15,,,60.1,16
28.7,6.6,14,83,2,59.3,16
29.6,6.6,16,,,60,16
29.3,6.6,15,,,59,16
28.7,6.6,13,80,2,60.4,16
29.2,6.6,12,,,64.7,16
28.9,6.6,13,76,5,61.3,16
29.3,6.6,17,,,60.2,16
28.7,6.6,15,,,60.8,16
29.6,6.6,14,91,4,61.1,16
29.8,6.6,17,,,64.8,16
29.3,6.6,17,,,62.5,16
29,6.5,16,105,6,64,18
,6.5,17,,,62,18
29.6,6.4,19,,,64.2,18
28.9,6.5,22,138,10,64.4,18
30.2,6.6,22,,,62,18
30.1,6.6,27,,,60.2,20
,6.5,16,108,6,68,20
29.8,6.6,16,,,62,20
29.3,6.6,23,,,61.8,20
29.5,6.6,20,130,10,68,20
29.2,6.6,18,,,64.1,20
29,6.6,19,,,63.6,20
29.1,6.5,18,108,8,68.8,18
29.7,6.6,18,,,65,20
29.5,6.5,25,155,15,65.3,20
29,6.5,18,110,9,66,20
29.8,6.8,15,,,67.4,20
,6.5,21,,,64.9,20
28.4,6.6,18,87,8,66,20
29.8,6.6,17,,,67.6,20
29.5,6.5,18,,,66.4,20
29.5,6.5,15,100,4,67.1,20
,6.6,18,,,67.3,20
29.5,6.5,14,,,68.8,20
29.3,6.5,13,81,3,68.8,20
29.7,6.5,13,,,67.4,20
29.7,6.5,12,,,67.2,18
29,6.6,16,106,7,66.3,18
,6.6,12,,,66.4,18
,6.6,11,,,66.6,18
29.2,6.6,10,51,3,64,18
,6.6,9,,,65,18
,6.7,8,,,63.5,18
29.3,6.6,10,58,2,65,18
30.1,6.5,11,,,65,18
30,6.6,8,,,64.6,18
29.2,6.5,10,58,4,63,20
,6.5,11,,,64,16
29.2,6.5,17,97,3,60,16
29.5,6.6,19,,,60.9,16
29,6.5,15,,,60,16
28.8,6.6,16,98,5,57.5,16
,6.6,21,,,58.6,16
29.4,6.4,22,,,60.4,16
28.6,6.6,18,115,2,57,16
29.3,6.7,23,,,55.5,18
29.6,6.6,23,,,57.6,18
28.7,6.6,18,112,2,57.1,18
,6.7,27,160,9,54.1,16
29,6.7,31,,,54.8,16
28.5,6.6,21,130,8,56.1,16
28.8,6.7,31,180,9,55.7,18
28.8,6.7,36,,,53.7,18
28.4,6.6,24,154,5,57,18
29.4,6.6,33,,,54,18
29.1,6.5,40,,,56,18
28.7,6.7,30,183,9,60,16
29.2,6.7,33,,,55.2,16
29,6.7,32,,,55.6,16
28.4,6.6,33,205,14,55.7,16
,6.6,32,,,56.6,16
28.4,6.6,33,,,57.2,16
28.9,6.6,34,190,17,57.7,18
,6.6,29,,,57.9,18
28.6,6.5,36,,,60.3,18
28.3,6.6,31,188,12,56.8,18
,6.6,29,,,59.5,16
,6.6,26,,,60.3,16
28.5,6.6,24,135,7,60.8,18
29.4,6.6,26,,,60.1,18
29,6.7,23,,,63,18
28.5,6.7,19,115,4,61.1,18
29,6.7,21,,,63.3,18
29.2,6.7,18,,,64.3,18
28.5,6.7,20,114,5,63.5,18
29.3,6.6,20,,,63.7,20
29.1,6.7,17,,,66.1,20
28.4,6.6,18,109,4,66,20
29.6,6.6,23,,,64,18
29.3,6.6,17,,,66.7,18
28.5,6.6,18,104,2,66,18
29.2,6.6,18,,,69.2,18
28.7,6.6,20,122,6,69.2,20
,6.6,24,149,9,67.2,20
29.7,6.5,26,,,71.7,20
28.6,6.6,22,124,5,73,20
,,,,,70,20
,6.6,26,,,70.2,20
28.6,6.6,18,110,6,75.1,20
29.6,6.6,20,,,69.5,18
29.7,6.6,24,135,10,71.6,18
28.8,6.6,17,106,5,73.1,18
29.9,6.7,17,,,68.1,22
,6.6,22,127,10,70,22
28.9,6.7,17,97,7,74.2,20
29.5,6.7,16,,,68,20
29.8,6.6,19,,,66.2,20
28.7,6.6,17,112,5,71.1,22
29.9,6.7,15,,,65.8,22
29,6.7,18,,,66,22
28.7,6.6,18,110,8,70,22
29,6.6,15,,,68.1,22
29.1,6.6,17,,,65.5,22
28.5,6.6,20,119,8,66.7,18
29.3,6.6,19,,,66.3,18
28.5,6.6,22,125,8,61,18
,6.7,18,,,66.1,18
,6.6,21,,,64.5,18
28.9,6.6,21,123,7,62.9,18
,6.7,20,,,63.5,18
,6.7,18,,,63,18
28.6,6.7,14,86,3,62.7,18
,6.7,14,,,64,18
29.6,6.7,14,,,64.6,18
28.9,6.7,12,76,1,62.8,18
,6.7,12,,,62.7,18
,6.6,12,,,63.5,18
28.7,6.7,12,83,1,62.2,16
,6.7,15,,,65.6,16
,6.7,13,,,63.9,18
28.5,6.6,14,100,3,64.3,18
,6.6,18,,,63.7,18
,6.6,15,,,68.2,20
28.7,6.7,14,104,4,64.3,20
29.6,6.7,19,,,62.5,20
29.2,6.7,15,,,71.2,20
28.4,6.7,17,110,3,64.4,20
29.4,6.6,21,,,64.6,20
29.2,6.6,20,,,68.6,20
,6.6,18,107,5,63.5,20
29.8,6.6,23,,,66,18
29,6.6,18,105,3,66.4,18
,6.6,17,,,66.2,18
,6.6,20,,,68,20
29,6.6,18,101,3,69.9,20
30.5,6.7,18,,,64.2,18
,6.6,22,,,70.4,18
29.2,6.6,19,110,5,73.8,18
30.6,6.6,19,,,65.5,18
,6.7,24,,,67.1,18
29.7,6.6,25,120,6,69.7,18
,6.6,18,,,66,18
30.5,6.6,23,,,64.6,18
29.7,6.6,22,134,10,67.5,18
,6.5,19,,,64.9,18
29.3,6.5,24,,,64.3,18
,6.5,17,,,78.6,18
,6.5,21,,,69.8,18
,6.5,21,,,64,18
,,19,,,62.5,18
,6.6,19,,,72,18
29.5,6.6,20,,,63.1,18
29,6.5,23,137,14,62.5,18
29.8,6.6,22,,,67.3,18
,6.6,18,,,63.9,18
28.9,6.6,20,127,4,62.4,20
,6.6,20,,,65.2,20
29.5,6.6,20,,,65,20
28.7,6.5,19,124,8,63.2,18
,,25,,,67.5,18
,6.7,18,,,64.6,18
,6.6,18,117,3,62.6,18
,6.6,25,,,63,18
,6.6,20,120,7,68.4,18
29,6.6,18,119,4,64.1,16
,6.7,22,,,63.2,16
,6.6,19,,,71.7,16
29.2,6.7,18,118,3,64,16
30.3,6.7,17,,,65.5,18
29.2,6.7,21,,,67.9,18
28,6.8,16,113,5,66.4,18
29.6,6.8,18,,,65.7,18
29.2,6.7,20,,,67.5,18
28.8,6.6,20,120,7,68.3,18
,6.7,15,,,65,18
,6.8,27,,,67.4,18
29.8,6.7,17,101,7,71,18
,,17,,,63.7,20
30,6.6,26,127,9,66.3,20
29.8,6.6,20,132,9,73.1,18
,6.7,21,,,62.8,18
30.7,6.7,31,172,17,63,18
29.8,6.7,24,133,8,68.7,18
31.1,6.7,22,,,62.9,18
30.8,6.7,31,179,16,62.1,18
30,6.7,26,122,10,67.2,20
30.9,6.7,22,,,63,20
,6.6,23,,,64.6,20
30.1,6.7,33,175,9,63.3,18
,6.7,23,,,67.1,18
30.4,6.7,25,,,63.7,18
29.8,6.6,20,121,9,108,18
30.8,6.7,24,,,68,18
30.5,6.6,22,,,62.1,18
29.8,6.7,28,153,15,62.1,18
30.9,6.7,23,,,68.4,18
,6.7,23,,,64.3,18
,,20,136,6,60.8,18
30.7,6.7,22,,,66,18
30.6,6.7,18,,,62.1,18
30,6.7,19,91,4,63.9,18
,6.7,18,,,63.4,20
,6.7,17,,,61.7,20
30.1,6.7,16,87,3,63.4,20
,6.7,17,,,65,20
,6.8,18,,,63,20
30,6.7,15,95,5,63.5,20
31.1,6.8,18,,,67.5,18
,6.7,16,,,64.7,18
30.1,6.7,14,97,4,64.8,20
31.1,6.8,23,,,64.9,20
,6.8,18,,,66.3,20
30,6.7,15,93,5,70.7,20
,6.8,19,,,65.8,20
30.7,6.7,19,,,71.7,20
29.7,6.7,18,111,7,68.7,20
,6.8,21,,,69.2,20
,6.7,18,,,73.7,20
29.9,6.7,19,,,73.4,20
31,6.7,20,,,67.1,20
29.9,6.7,18,,,71,20
30.3,6.7,17,109,4,73.7,20
30.4,6.7,17,,,64,20
30.4,6.8,30,162,15,66.4,20
30.1,6.6,19,119,7,78.5,20
31.1,6.7,20,,,65.9,20
,,31,177,17,66,20
30.3,6.7,23,144,6,74.6,20
,,17,,,67.1,20
,,29,175,17,71.7,20
30.3,6.7,29,167,16,71.5,20
31.2,6.7,22,,,71.6,20
,6.7,20,,,70.3,20
30.4,6.6,28,186,17,67.1,20
30.8,6.6,20,,,71.1,20
,6.7,20,,,76.6,20
29.7,6.7,29,168,17,71.9,20
,6.7,20,,,77.6,22
30.4,6.6,21,,,74.3,22
29.8,6.7,33,186,16,68.7,20
,6.7,20,,,75.4,20
,6.7,24,,,73.5,20
29.7,6.7,24,138,8,72.7,20
30.2,6.8,18,,,73,20
30.2,6.8,20,,,72.4,20
29.6,6.8,28,170,10,68.2,20
,,22,,,69.8,20
30,6.8,22,,,68.6,20
29.1,6.9,30,186,11,62.4,20
,6.8,31,,,65.9,20
29.7,6.8,27,,,65,20
29.4,6.9,27,172,11,61.3,22
,6.9,32,,,60.7,22
30.1,6.9,28,,,60,22
29.7,6.9,22,138,8,64.1,20
30.7,6.9,26,,,62,24
,6.9,20,,,61.9,24
30,7,17,123,5,62.9,24
30.7,7,17,,,67.2,22
,7,19,,,63,22
30.1,7,17,142,10,65.1,22
,7,18,,,62.8,22
,7,19,,,64.2,22
30.2,7,13,87,3,63.1,20
,7,16,,,63.1,20
,7,18,,,61.5,20
30.5,7,14,95,4,61.9,20
31.1,7,18,,,64.3,20
,7.1,15,,,62.1,20
31,7,16,110,7,63.8,20
31.4,7,18,,,62.3,20
,7,14,,,63.5,20
30.1,7,15,104,4,61.3,20
,7,15,,,62,20
30.1,7,14,98,6,61.2,20
30.9,7,14,,,61.7,20
,7,14,,,60,20
30.2,7,15,106,6,59.8,20
,7,14,,,60.1,18
30.9,7,15,,,60.8,18
30.1,7.1,18,115,7,58.4,18
31.1,7.1,15,,,59.2,20
30.9,6.9,15,,,61.6,20
30.1,7.1,17,119,10,61.6,22
,7.1,14,,,61.2,22
,7.2,13,,,61.2,22
30.3,7.1,16,106,9,63.7,18
,7.1,12,,,63.4,18
30.5,7.1,12,86,4,65,18
31.5,7.2,10,,,63.4,18
30.6,7.2,11,,,63.7,18
,7.1,10,75,5,64.2,20
31.1,7.1,8,,,62.5,20
,7.1,9,,,63.1,20
30.2,7,7,70,1,66.2,20
31.4,7.1,8,,,64.9,20
,7.1,8,,,65.1,20
30.4,7,8,76,2,64.3,20
30.8,7.1,9,,,64.4,20
30.6,7.1,8,,,63.2,20
30.1,7,8,72,0,65.7,20
31.1,7,9,,,64.3,20
,,8,,,63.8,20
30.3,7.1,8,72,1,63.4,20
31.5,7,,,,65.4,20
31.1,7.1,8,,,64.8,20
30,7,9,83,2,64,20
,7,12,,,69.8,20
,7,10,,,67,20
30.1,7,8,86,1,64.2,22
,7,9,,,66.8,22
,7,9,,,64.9,22
30.2,7.1,9,77,2,64,22
31.1,7,10,,,69,22
30.4,7,10,,,66.2,22
29.9,7,13,110,4,63.3,22
,7.1,10,,,63.5,22
,7.1,10,,,63.6,22
30.6,7,10,102,3,62.3,22
,7.1,9,,,63.9,22
,7.1,11,,,62.6,22
30.4,7,10,88,3,61.1,22
,7.1,8,,,60.7,22
30.5,7,13,,,62,22
30.7,7,14,114,6,60,22
31.2,7,13,,,58.4,22
30.9,7.1,12,,,58.1,22
30.7,7,13,103,5,61.9,20
31.3,7,10,,,60.5,22
31.1,7.1,11,,,62,22
30.4,7,13,102,8,65.6,22
,7,11,,,62.1,22
,7.1,10,,,64.7,22
30.8,7,11,95,4,63.1,22
,7,10,,,62.4,22
,7,9,,,62.1,22
30.4,7,11,100,4,62.4,20
31,7.1,12,,,61.4,20
30.9,7,11,,,62.5,20
29.4,7,13,97,3,64,20
30.7,7,15,,,62,20
30.3,7,12,,,62.6,20
30.5,7,13,103,4,65.8,20
31.2,7,15,,,63.4,20
,,16,,,64.5,20
30.7,7,13,87,3,63,20
31.1,7,21,,,60.8,20
31,7,17,,,60.3,20
30.4,6.9,20,150,7,63.5,22
31.4,6.9,25,,,70.3,22
30.6,6.9,23,,,66.4,22
29.9,6.9,26,185,13,66.6,22
31.2,6.9,28,,,66.8,22
,6.8,26,,,66.4,22
30.4,6.9,25,178,11,63.8,22
32,6.9,23,,,64.4,20
,7,21,,,63.1,20
