NhietdoN_SONG,pH_N_SONG,Duc_N_SONG,Mau_N_SONG,SS_SONG,EC_N_SONG,Jartest_N_SONG_KN
28.0,6.8,28.0,163.0,28.0,51.9,16.0
30.6,7.2,11.0,,,63.7,18.0
29.7,7.0,20.0,,,73.8,18.0
29.2,6.9,23.0,233.0,23.0,54.4,18.0
29.8,6.9,20.0,185.0,18.0,93.7,18.0
31.4,6.7,40.0,,,78.2,28.0
29.2,6.7,37.0,349.0,29.0,64.5,22.0
31.7,6.8,10.0,,,62.9,8.0
29.7,6.7,48.0,,,61.7,22.0
30.3,6.7,59.0,,,54.3,20.0
30.6,6.7,18.0,,,62.1,18.0
30.6,6.9,22.0,,,53.1,14.0
29.4,6.8,22.0,208.0,18.0,54.5,16.0
29.8,6.9,21.0,,,66.0,19.2
27.0,6.8,15.0,,,62.0,14.0
29.4,6.8,16.0,153.0,15.0,96.0,18.0
27.9,6.9,13.0,70.0,18.0,62.1,16.0
28.9,6.9,32.0,290.0,,64.1,16.0
32.1,6.7,38.0,,,58.7,18.0
,6.9,13.0,,,68.9,22.0
27.9,7.0,69.0,658.0,56.0,55.0,22.0
29.1,6.7,87.0,722.0,65.0,68.5,28.0
29.1,6.9,65.0,458.0,,62.3,20.0
,6.9,28.0,,,306.0,22.0
30.1,6.8,45.0,,,58.6,20.0
30.9,6.8,42.0,,,66.7,19.2
29.6,6.9,75.0,644.0,56.0,68.4,26.0
31.1,6.9,23.0,,,67.5,20.0
29.0,7.0,15.0,138.0,14.0,59.0,16.0
29.4,6.8,45.0,430.0,37.0,57.6,22.0
30.0,7.1,14.0,102.0,11.0,64.5,20.0
33.3,6.7,13.0,,,63.5,8.0
29.0,6.9,60.0,522.0,48.0,50.4,22.0
29.8,7.0,10.0,102.0,12.0,63.6,16.0
28.4,7.1,17.0,155.0,17.0,81.0,24.0
28.9,6.7,61.0,,,49.5,22.0
,7.1,25.0,218.0,,63.7,20.0
29.7,7.3,14.0,,,60.0,20.0
28.4,6.8,24.0,203.0,18.0,63.2,16.0
28.5,6.8,60.0,550.0,64.0,56.0,22.0
29.2,6.7,15.0,125.0,12.0,61.0,14.0
30.0,6.7,60.0,,,86.6,28.0
29.3,6.6,26.0,,,64.2,16.0
30.6,6.7,44.0,,,59.2,22.0
30.7,6.9,22.0,,,66.9,22.0
30.4,6.6,28.0,186.0,17.0,67.1,20.0
,6.5,25.0,150.0,9.0,58.3,16.0
31.3,6.9,15.0,,,64.4,22.0
30.1,7.1,22.0,214.0,21.0,59.5,18.0
28.7,6.8,74.0,660.0,55.0,61.5,26.0
27.4,6.8,183.0,1548.0,142.0,54.0,30.0
28.4,6.7,32.0,261.0,24.0,60.4,16.0
30.5,7.0,20.0,168.0,19.0,60.3,20.0
29.2,7.0,82.0,502.0,68.0,51.6,22.0
,6.5,16.0,,,59.1,16.0
30.5,6.8,40.0,363.0,36.0,78.5,26.0
31.8,6.9,29.0,240.0,24.0,73.0,19.2
28.4,6.8,50.0,392.0,,63.3,24.0
,7.0,64.0,672.0,60.0,54.8,20.0
,6.6,28.0,,,58.1,16.0
29.8,6.7,31.0,,,63.2,16.0
